date,Player,Sport,Prop,Original,Discounted,Percentage,Actual,Win
"Jan 20, 2024 · 5:29 PM UTC",Christian McCaffrey,NFL,RUSH YDS,92.5,73.5,20.54,5,WIN
"Jan 17, 2024 · 5:29 PM UTC",Josh Allen,NFL,PASS YDS,235.5,187.5,20.38,5,LOSS
"Dec 31, 2023 · 4:07 PM UTC",Puka Nacua,NFL,REC YDS,68.5,55.5,18.98,5,WIN
"Dec 31, 2023 · 4:07 PM UTC",Tyreek Hill,NFL,REC YDS,94.5,75.5,20.11,5,LOSS
"Dec 28, 2023 · 5:32 PM UTC",Breece Hall,NFL,RUSH YDS,43.5,34.5,20.69,5,WIN
"Dec 25, 2023 · 5:32 PM UTC",Lebron James,NBA,PTS,26.5,0.5,98.11,5,LOSS
"Dec 10, 2023 · 5:32 PM UTC",Christian McCaffrey,NFL,RUSH YDS,81.5,65.5,19.63,5,WIN
"Dec 10, 2023 · 5:32 PM UTC",Ceedee Lamb,NFL,REC YDS,91.5,72.5,20.77,5,LOSS
"Nov 24, 2023 · 4:26 PM UTC",Lebron James,NBA,PTS,25.5,22.5,11.76,5,WIN
"Nov 22, 2023 · 4:26 PM UTC",Tua Tagovailoa,NFL,PASS YDS,248.5,185.5,25.35,5,LOSS
"Nov 19, 2023 · 4:26 PM UTC",Amon St Brown,NFL,REC YDS,84.5,66.5,21.3,5,WIN
"Nov 19, 2023 · 4:26 PM UTC",J Warren,NFL,RUSH YDS,39.5,28.5,27.85,5,LOSS
"Nov 12, 2023 · 4:26 PM UTC",Ceedee Lamb,NFL,REC YDS,77.5,58.5,24.52,5,WIN
"Nov 12, 2023 · 4:26 PM UTC",Christian McCaffrey,NFL,RUSH YDS,65.5,48.5,25.95,5,LOSS
"Nov 12, 2023 · 4:26 PM UTC",CJ Stroud,NFL,PASS YDS,253.5,189.5,25.25,5,WIN
"Nov 5, 2023 · 4:13 PM UTC",Adam Thielen,NFL,REC YDS,69.5,52.5,24.46,5,LOSS
"Nov 5, 2023 · 4:13 PM UTC",Lamar Jackson,NFL,PASS YDS,227.5,192.5,15.38,5,WIN
"Nov 1, 2023 · 4:13 PM UTC",LaMelo Ball,NBA,AST,8.5,6.5,23.53,5,LOSS
"Nov 1, 2023 · 4:13 PM UTC",Steph Curry,NBA,PTS,30.5,25.5,16.39,5,WIN
"Oct 29, 2023 · 3:23 PM UTC",Jalen Hurts,NFL,PASS YDS,250.5,213.5,14.77,5,LOSS
"Oct 24, 2023 · 3:39 PM UTC",Klay Thompson,NBA,PTS,19.5,0.5,97.44,5,WIN
"Oct 22, 2023 · 3:39 PM UTC",Kyle Pitts,NFL,REC YDS,32.5,24.5,24.62,5,LOSS
"Oct 22, 2023 · 3:39 PM UTC",Stefon Diggs,NFL,REC YDS,86.5,65.5,24.28,5,WIN
"Oct 18, 2023 · 3:01 PM UTC",Yordan Alvarez,MLB,TOTAL BASES,1.5,0.5,66.67,5,LOSS
"Oct 15, 2023 · 3:01 PM UTC",DJ Moore,NFL,REC YDS,60.5,45.5,24.79,5,WIN
"Oct 15, 2023 · 3:01 PM UTC",Bijan Robinson,NFL,RUSH YDS,68.5,58.5,14.6,5,LOSS
"Oct 11, 2023 · 4:03 PM UTC",Bryce Elder,MLB,HA,4.5,3.5,22.22,5,WIN
"Oct 8, 2023 · 4:03 PM UTC",CJ Stroud,NFL,PASS YDS,246.5,209.5,15.01,5,LOSS
"Oct 4, 2023 · 4:03 PM UTC",DJ Moore,NFL,REC YDS,49.5,41.5,16.16,5,WIN
"Oct 1, 2023 · 4:03 PM UTC",Keenan Allen,NFL,REC,7.5,4.5,40,5,LOSS
"Sep 27, 2023 · 3:48 PM UTC",Sam LaPorta,NFL,REC,4.5,3.5,22.22,5,WIN
"Sep 24, 2023 · 3:48 PM UTC",Justin Jefferson,NFL,REC YDS,99.5,94.5,5.03,5,LOSS
"Sep 16, 2023 · 1:43 AM UTC",Tyreek Hill,NFL,REC YDS,81.5,0.5,99.39,5,WIN
"Sep 10, 2023 · 1:43 AM UTC",Saquon Barkley,NFL,RUSH YDS,66.5,54.5,18.05,5,LOSS
